606.204	1	1	753
606.436	1	1	664
606.669	1	1	740
606.901	1	1	739
607.133	1	1	746
607.366	1	1	766
607.598	1	1	784
607.830	1	1	797
608.062	1	1	834
608.294	1	1	826
608.526	1	1	870
608.758	1	1	906
608.990	1	1	910
609.222	1	1	1027
609.453	1	1	1240
609.685	1	1	1354
609.917	1	1	1645
610.149	1	1	2011
610.380	1	1	2087
610.612	1	1	2616
610.843	1	1	3309
611.075	1	1	4010
611.306	1	1	5981
611.538	1	1	8483
611.769	1	1	10231
612.001	1	1	11398
612.232	1	1	12441
612.463	1	1	13187
612.694	1	1	11984
612.926	1	1	9186
613.157	1	1	7855
613.388	1	1	10856
613.619	1	1	15058
613.850	1	1	18664
614.081	1	1	21298
614.312	1	1	20839
614.542	1	1	19966
614.773	1	1	21179
615.004	1	1	19830
615.235	1	1	16298
615.465	1	1	14030
615.696	1	1	11933
615.927	1	1	9473
616.157	1	1	10125
616.388	1	1	10740
616.618	1	1	8975
616.849	1	1	7337
617.079	1	1	7997
617.309	1	1	8126
617.540	1	1	6607
617.770	1	1	5990
618.000	1	1	5926
618.230	1	1	5872
618.460	1	1	6190
618.690	1	1	6108
618.920	1	1	5884
619.150	1	1	5688
619.380	1	1	5616
619.610	1	1	5667
619.840	1	1	5216
620.070	1	1	4798
620.300	1	1	4999
620.529	1	1	4854
620.759	1	1	4717
620.989	1	1	4528
621.218	1	1	4383
621.448	1	1	4175
621.677	1	1	3952
621.907	1	1	3904
622.136	1	1	3819
622.365	1	1	3571
622.595	1	1	3501
622.824	1	1	3319
623.053	1	1	3166
623.283	1	1	3104
623.512	1	1	3054
623.741	1	1	2817
623.970	1	1	2662
624.199	1	1	2581
624.428	1	1	2413
624.657	1	1	2354
624.886	1	1	2212
625.114	1	1	2044
625.343	1	1	2141
625.572	1	1	1962
625.801	1	1	1888
626.029	1	1	1791
626.258	1	1	1710
626.487	1	1	1599
626.715	1	1	1578
626.944	1	1	1541
627.172	1	1	1515
627.401	1	1	1480
627.629	1	1	1477
627.857	1	1	1421
628.085	1	1	1336
628.314	1	1	1306
628.542	1	1	1297
628.770	1	1	1247
628.998	1	1	1172
629.226	1	1	1248
629.454	1	1	1131
629.682	1	1	1204
629.910	1	1	1180
630.138	1	1	1144
630.366	1	1	1074
630.594	1	1	1137
630.821	1	1	1089
631.049	1	1	1055
631.277	1	1	1033
631.504	1	1	1032
631.732	1	1	967
631.959	1	1	980
632.187	1	1	962
632.414	1	1	906
632.642	1	1	913
632.869	1	1	935
633.096	1	1	885
633.324	1	1	857
633.551	1	1	878
633.778	1	1	833
634.005	1	1	830
634.232	1	1	852
634.459	1	1	796
634.686	1	1	796
634.913	1	1	789
635.140	1	1	765
635.367	1	1	757
635.594	1	1	753
635.821	1	1	761
636.047	1	1	729
636.274	1	1	738
636.501	1	1	739
636.727	1	1	730
636.954	1	1	747
637.180	1	1	739
637.407	1	1	728
637.633	1	1	724
637.860	1	1	734
638.086	1	1	719
638.312	1	1	739
638.539	1	1	689
638.765	1	1	747
638.991	1	1	754
639.217	1	1	711
639.443	1	1	747
639.669	1	1	706
639.895	1	1	714
640.121	1	1	712
640.347	1	1	703
640.573	1	1	718
640.799	1	1	718
641.025	1	1	701
641.250	1	1	721
641.476	1	1	702
641.702	1	1	701
641.927	1	1	716
642.153	1	1	684
642.378	1	1	730
642.604	1	1	705
642.829	1	1	712
643.055	1	1	696
643.280	1	1	705
643.505	1	1	691
