wn,counts
2721.12600,0.26448
2719.14988,0.08740
2717.19750,0.17252
2715.22239,0.00000
2713.27103,0.00000
2711.29694,0.00000
2709.34657,0.00000
2707.37350,0.00000
2705.42414,0.00000
2703.45208,0.00000
2701.50373,0.00000
2699.53268,0.00000
2697.58533,0.00000
2695.63847,0.00000
2693.66895,0.00000
2691.72309,0.00000
2689.75458,0.00000
2687.80973,0.00000
2685.84223,0.00000
2683.89838,0.00000
2681.95502,0.00000
2679.98903,0.00000
2678.04667,0.00000
2676.10481,0.00000
2674.14034,0.00000
2672.19947,0.00000
2670.23601,0.00000
2668.29614,0.00000
2666.35677,0.00000
2664.39481,0.00000
2662.45644,0.00000
2660.51855,0.00000
2658.55811,0.00000
2656.62122,0.00000
2654.68482,0.00000
2652.74892,0.00000
2650.79048,0.00000
2648.85557,0.00000
2646.92116,0.00000
2644.96422,0.00000
2643.03080,0.00000
2641.09787,0.00000
2639.16543,0.00000
2637.21049,0.00000
2635.27905,0.00000
2633.34809,0.00000
2631.41763,0.00000
2629.46469,0.00000
2627.53521,0.00000
2625.60623,0.00000
2623.67774,0.00000
2621.74974,0.00000
2619.79928,0.00000
2617.87227,0.00000
2615.94575,0.00000
2614.01971,0.00000
2612.09417,0.00000
2610.16911,0.00000
2608.22164,0.00000
2606.29757,0.00000
2604.37399,0.00000
2602.45090,0.00000
2600.52830,0.00000
2598.60618,0.00000
2596.68456,0.00000
2594.76342,0.00000
2592.81991,0.00000
2590.89975,0.00000
2588.98009,0.00000
2587.06091,0.00000
2585.14221,0.00000
2583.22401,0.00000
2581.30629,0.00000
2579.38905,0.00000
2577.47231,0.00000
2575.55605,0.00000
2573.64027,0.00000
2571.72499,0.00000
2569.81018,0.00000
2567.89587,0.00000
2565.98204,0.00000
2564.06869,0.00000
2562.15583,0.00000
2560.24345,0.00000
2558.33156,0.00000
2556.42016,0.00000
2554.50923,0.00000
2552.59880,0.00000
2550.68884,0.00000
2548.77937,0.00000
2546.87038,0.00000
2544.96188,0.00000
2543.05386,0.00000
2541.14632,0.00000
2539.23927,0.00000
2537.33269,0.00000
2535.42661,0.00000
2533.52100,0.00000
2531.61587,0.00000
2529.73390,0.00000
2527.82973,0.00000
2525.92605,0.00000
2524.02284,0.00000
2522.12012,0.00000
2520.21788,0.00000
2518.31612,0.00000
2516.43747,0.00000
2514.53666,0.00000
2512.63634,0.00000
2510.73649,0.00000
2508.83713,0.00000
2506.93824,0.00000
2505.06243,0.00000
2503.16450,0.00000
2501.26704,0.00000
2499.37007,0.00000
2497.47357,0.00000
2495.60013,0.00000
2493.70458,0.00000
2491.80952,0.00000
2489.91493,0.00000
2488.04336,0.00000
2486.14973,0.00000
2484.25657,0.00000
2482.36388,0.00000
2480.49420,0.00000
2478.60247,0.00000
2476.71121,0.00000
2474.82043,0.00000
2472.95263,0.00000
2471.06279,0.00000
2469.17343,0.00000
2467.30704,0.00000
2465.41862,0.00000
2463.53069,0.00000
2461.66570,0.00000
2459.77870,0.00000
2457.89219,0.00000
2456.02860,0.00000
2454.14303,0.00000
2452.25793,0.00000
2450.39574,0.00000
2448.51158,0.00000
2446.65033,0.00000
2444.76711,0.00000
2442.88437,0.00000
2441.02451,0.00000
2439.14272,0.00000
2437.28379,0.00000
2435.40293,0.00000
2433.52254,0.00000
2431.66501,0.00000
2429.78556,0.00000
2427.92896,0.00000
