wavenumber,L_I_xx_ir_sq,L_I_yy_ir_sq,L_I_zz_ir_sq,L_II_xx_ir_sq,L_II_yy_ir_sq,L_II_zz_ir_sq_n,L_II_zz_ir_sq_w
2400.0,0.7058140314089001,0.3557558776092909,9.473241419506265e-05,0.6867863534760936,0.34504858642517033,4.0745446233754046e-05,0.5330660150366191
2450.0,0.7221692881459838,0.3614557471251687,0.00010021907092546214,0.7028041686729588,0.3502405324870247,4.2944936558191854e-05,0.5747958786456118
2500.0,0.7553131199682797,0.37254079750633085,0.00010393666931197163,0.7355194253750439,0.36050790465806126,4.3969864316889685e-05,0.6649854170750998
2550.0,0.7790600850467228,0.4014805231305756,0.00010734941780160269,0.7599083817477901,0.3883960820101433,4.713227723814686e-05,0.8607668816255993
2600.0,0.8030079380016537,0.43115315133455867,0.00011034426057938954,0.7849638118192447,0.41699698543996944,5.144734248156702e-05,1.1090913935433742
2650.0,0.7936899740984601,0.4848494150781013,0.00011572752924346035,0.7793703012148212,0.46917216301882186,6.449716561723479e-05,1.6776370907334592
2700.0,0.6255902709092107,0.5675690889728221,0.00014494178161527778,0.6182359186808061,0.5502262599374529,0.00010250325909741041,2.759172684283602
2750.0,0.52736342930175,0.5884279717804456,0.00017636150089495172,0.5135543410328282,0.572045566229876,0.0001022326696952103,2.1428600584041293
2800.0,0.5871238736009119,0.5582108146444774,0.00017826905774459765,0.570868275884837,0.5427762372465817,9.54502193265297e-05,1.6382098953405724
2840.0,0.6084536412225476,0.5462048571027681,0.0001834889048671951,0.5914840825350389,0.5310842916932514,9.612545001647433e-05,1.4771420250511411
2880.0,0.6202912081476868,0.540030971482985,0.00019025437605328058,0.6029210811912061,0.5250502688981841,9.868867704719588e-05,1.3916046689317805
2920.0,0.628501645520234,0.5361819774527483,0.0001977219690953035,0.610842097530933,0.5212744160852393,0.00010199030873550384,1.3342106960701259
2960.0,0.6353179413811584,0.5331283346020974,0.00020556856178352415,0.6174023062959797,0.518275565612555,0.00010558951331535971,1.2869592774592555
3000.0,0.6402359796479747,0.5314851339500415,0.00021390632385219556,0.622118507977832,0.5166485528467084,0.00010963551102251264,1.254246641517135
3040.0,0.64423534904485,0.5304462974190395,0.00022257385272204258,0.625945321382485,0.5156081340042149,0.00011394786372504031,1.2285776200031946
3060.0,0.6458339301311621,0.5302365960362254,0.00022704873726043972,0.6274703947035176,0.5153884473129203,0.00011622394812242873,1.2188618568850815
3100.0,0.6489612216827537,0.5297431415542643,0.00023614451845680538,0.6304527293759865,0.5148774259584746,0.00012084841504778585,1.1997547639116692
3140.0,0.6519900752835701,0.529134237907182,0.00024545665052868226,0.6333406504034724,0.5142540866974801,0.00012558267332721365,1.1811341542918712
3160.0,0.6533518601632714,0.5289393809374862,0.0002502025164069741,0.6346367959156963,0.5140487703346196,0.00012801439750328704,1.1729770818863972
3180.0,0.6545610031222658,0.5288541188216356,0.0002550381821276192,0.6357851264264012,0.5139498072393959,0.00013051071671571986,1.1659732418853486
3210.0,0.656234295077556,0.5288364497041996,0.0002623832277891513,0.637371666942516,0.5139082946796695,0.00013432126185432852,1.1565356122809072
3220.0,0.6566984440738518,0.528904042702614,0.0002648926077300383,0.637809876947926,0.5139657452151668,0.00013563548778050435,1.1541018226775146
3240.0,0.6576267420664432,0.529039228699443,0.00026991136761181226,0.6386862969587461,0.5140806462861616,0.00013826393963285605,1.1492342434707294
3260.0,0.6585471813732596,0.5291391425685293,0.00027499020331883244,0.6395561534784112,0.5141607395417781,0.00014092553512810952,1.1443921520443467
3280.0,0.6594597619943008,0.5292037843098729,0.00028012911485109896,0.6404194465069211,0.5142060249820166,0.00014362027426626477,1.1395755483983663
3300.0,0.6603723426153421,0.5292684260512165,0.0002852680263833654,0.6412827395354309,0.5142513104222551,0.00014631501340442001,1.134758944752386
3320.0,0.6610225511705818,0.5295702788167642,0.00029059839910086714,0.6418910319787736,0.5145272464660914,0.0001491465656539987,1.131921142294002
3340.0,0.6616727597258217,0.529872131582312,0.00029592877181836886,0.6424993244221163,0.5148031825099277,0.00015197811790357738,1.1290833398356181
3360.0,0.6623159352054925,0.5301524131471916,0.0003013231985160017,0.6431007956422565,0.5150582113610989,0.0001548430750333048,1.1262364446557158
3380.0,0.6629520776095943,0.5304111235114031,0.0003067816791937656,0.6436954456391942,0.5152923330196048,0.00015774143704318095,1.123380456754295
3390.0,0.6632701488116453,0.5305404786935088,0.00030951091953264754,0.643992770637663,0.5154093938488576,0.000159190618048119,1.1219524628035846
3400.0,0.6635882200136961,0.5306698338756146,0.0003122401598715295,0.6442900956361319,0.5155264546781106,0.00016063979905305708,1.1205244688528742
3410.0,0.6638942879984568,0.5307941806560388,0.00031503780525847324,0.6445741580933007,0.5156396708411396,0.00016212040426154904,1.1190796707316217
3420.0,0.6642003559832176,0.5309185274364631,0.00031783545064541696,0.6448582205504694,0.5157528870041684,0.00016360100947004097,1.1176348726103693
3440.0,0.664812491952739,0.5311672209973115,0.00032343074141930435,0.6454263454648069,0.5159793193302262,0.00016656221988702486,1.1147452763678645
3460.0,0.6654165892038972,0.5314011272015446,0.0003290906075739957,0.6459861259872637,0.5161917835309606,0.0001695553280182944,1.1118478387284167
3480.0,0.6660126477366924,0.5316202460491627,0.00033481504910949097,0.6465375621178397,0.5163902796063715,0.0001725803338638496,1.108942559692026
3500.0,0.6666087062694876,0.5318393648967807,0.00034053949064498623,0.6470889982484158,0.5165887756817824,0.0001756053397094048,1.1060372806556351
3520.0,0.6669666673325217,0.5322950945233944,0.00034646134103056967,0.647410161753303,0.5170166093841396,0.00017877845746956252,1.104997414654119
3540.0,0.6673246283955558,0.532750824150008,0.00035238319141615317,0.6477313252581902,0.5174444430864968,0.00018195157522972024,1.103957548652603
3560.0,0.6677928114494363,0.5330470770535839,0.0003583305941967134,0.6481595844798393,0.5177174191174,0.00018511641796672976,1.1019728872034562
3580.0,0.668371216494163,0.5331838532341222,0.00036430354937225034,0.6486949394182505,0.5178355374768491,0.0001882729856805911,1.0990434303066783
3600.0,0.6689496215388897,0.5333206294146605,0.00037027650454778734,0.6492302943566616,0.517953655836298,0.0001914295533944524,1.0961139734099006
3640.0,0.6696462968423061,0.5340615777193738,0.0003826211335368151,0.6498582933123641,0.5186414347281771,0.00019805249953071968,1.0939486715671878
3680.0,0.670673353440106,0.534317237504107,0.00039503093569589657,0.6508089315324621,0.5188569789799694,0.00020464597952036905,1.0890133436291038
3720.0,0.6715827897137364,0.5346609192002354,0.00040767175919394845,0.651647020191356,0.5191571021032747,0.000211389944488958,1.0849690428089511
3760.0,0.6722631241623704,0.5352374935637844,0.00042058540451012,0.6522642871407652,0.5196824831585917,0.00021833001722049305,1.0827299454962414
3800.0,0.6729393954029069,0.5357633916754297,0.0004336896244337932,0.6528793769097282,0.5201576667553173,0.0002253774921574299,1.0804633512566961
4000.0,0.6754182933446199,0.539250059157668,0.00050291421545148,0.6549887004733438,0.5234256217866184,0.00026245067226624686,1.0726385231348876
