wavenumber,L_I_xx_ir_sq,L_I_yy_ir_sq,L_I_zz_ir_sq,L_II_xx_ir_sq,L_II_yy_ir_sq,L_II_zz_ir_sq_n,L_II_zz_ir_sq_w
2400.0,0.9420670736517045,1.236063843571439,1.033145844980561,0.942087545806819,1.2400996931595456,1.0958979016068118,1.6281000705640254
2450.0,0.9248469404068337,1.2246494411468027,1.0473114895646833,0.9246075473221151,1.2297241781692263,1.122107884586405,1.4971757315207848
2500.0,0.8880756190405119,1.1952773837255404,1.0811886342216912,0.8871769814493874,1.2017055404177603,1.1803808768332629,1.282850679587535
2550.0,0.8649139248616958,1.1137999521399828,1.1185692577672417,0.8624937081425339,1.1200322379953453,1.1827827513236229,0.9786335480583106
2600.0,0.842770502068324,1.0407026234757195,1.1607621594969824,0.8384980378846488,1.0466937896013329,1.161534136260541,0.7498639393295878
2650.0,0.8565343765962508,0.9269988736722821,1.1783343069622771,0.8482540248294836,0.9317659532638587,0.990704253302179,0.4876450801579172
2700.0,1.0917785368552935,0.7918484346921059,0.9998780182050768,1.0742335819129578,0.7943794702970784,0.6650297002079455,0.29063752587730063
2750.0,1.3008958485315696,0.763194589109919,0.8720016486641573,1.298830538925947,0.7634083219989725,0.7102062264238342,0.3668565282422838
2800.0,1.174145010592216,0.8016564590730689,0.9137859113960285,1.1739860249272784,0.8016202565340645,0.8082254717314901,0.4672942964332602
2840.0,1.1373998918183854,0.8158007214272668,0.9285899307395213,1.137409345855548,0.8156928312514309,0.8413436913618441,0.5061126377519958
2880.0,1.1200892868777175,0.8204069150210566,0.9358264434448713,1.1201603088457897,0.8202350494660721,0.8580832447295034,0.5230473478826598
2920.0,1.1098864879517734,0.8200186019173085,0.9400211283903922,1.1100077609232826,0.819754708949734,0.868443072345247,0.5295760658202053
2960.0,1.10239532926978,0.8169733805784739,0.9429889859565764,1.1025783960095226,0.8165801361253887,0.8764197270330605,0.5313720028597295
3000.0,1.0985767365127483,0.809249000909241,0.9442349743062188,1.098819159085109,0.8086767664020149,0.8806616769213325,0.524463559798853
3040.0,1.0963212927995754,0.7997146847544389,0.94480300195246,1.0966112393811074,0.7989119614657776,0.8831880822970971,0.5149027807804155
3060.0,1.096237563366961,0.7925728183407824,0.9446054290149007,1.0965424672150916,0.7916137116585527,0.8832243698646463,0.5064352390464063
3100.0,1.0961605225926525,0.7799000157392078,0.9442351121593332,1.096483144942277,0.7785791330244406,0.8830790183435514,0.49359672804951915
3140.0,1.0976807851851762,0.7668880701262473,0.9430424526885536,1.0979983268555236,0.7650662387148952,0.8807826466760299,0.4828869360613225
3160.0,1.0998004513933284,0.7601370716522804,0.9418127982524895,1.100103987235662,0.757995838018542,0.87798022765768,0.47831049065666886
3180.0,1.102650337055149,0.7550907638734581,0.9401289435312534,1.1029447788733973,0.7526256961713601,0.8743680667625574,0.4765818802933747
3210.0,1.1097096091367313,0.7507864971795324,0.9359740467951838,1.1100358565132393,0.7477552030673938,0.8661856375011625,0.4812860774115693
3220.0,1.1127019627711525,0.7507541440196335,0.9340787246355364,1.1130621403076038,0.7475345876769468,0.8628894424241083,0.4853023284105012
3240.0,1.1185619789413865,0.7521409507025775,0.930376597245362,1.1190130307764792,0.7485825092625416,0.8567607459763719,0.49524224688043783
3260.0,1.1249067233055547,0.7552321275766827,0.9261891322317081,1.12548835659662,0.751349195689573,0.8503856311001253,0.5081580325931421
3280.0,1.132294652226628,0.7586584828178483,0.9213184269961814,1.1330280006865605,0.7544387172621687,0.8429800699401554,0.5220276919273096
3300.0,1.1395156488307376,0.7620280702505277,0.9167104005607539,1.140401620335104,0.7575004810312697,0.8359407049905263,0.5352490529399699
3320.0,1.149695353306533,0.7656262912274122,0.9101245833978909,1.1507815890569255,0.7607362338227381,0.8258515284252294,0.5500871596702724
3340.0,1.1612371691878574,0.7704230385122074,0.902769949345666,1.1625805540672038,0.7651621560850467,0.8149428647935105,0.5678965301329215
