wavenumber,SSP_I,SPS_I,PSS_I,PPP_I_xxz,PPP_I_xzx,PPP_I_zxx,PPP_I_zzz,SSP_II_n,SPS_II_n,PSS_II_n,PPP_II_xxz_n,PPP_II_xzx_n,PPP_II_zxx_n,PPP_II_zzz_n,SSP_II_w,SPS_II_w,PSS_II_w,PPP_II_xxz_w,PPP_II_xzx_w,PPP_II_zxx_w,PPP_II_zzz_w
2400.0,1.7232926580959482e-05,0.001166555009415801,0.18231120505459983,1.9162504569433635e-06,0.0003445440391963418,0.05079850821001915,2.8072231308397777e-07,5.770269642489612e-08,5.34172825836442e-05,0.00014270444024505697,8.508767068029514e-08,0.00012545466303987853,0.0003577564155811673,3.8421455095657726e-14,0.0007549149483754017,0.014257932077722245,0.01694521870135785,0.0011131880916969443,0.03348586783042025,0.0424812338945195,1.5931628393339178e-05
2450.0,1.827290261181436e-05,0.0011869027827943151,0.18503227571961872,2.0333321083114935e-06,0.0003528565040117985,0.05185862563617672,2.969269648299624e-07,6.328878724197009e-08,5.4298581706576904e-05,0.00014696956196542685,9.327280060679411e-08,0.0001285095197041709,0.0003715022297292854,4.2696049435887746e-14,0.0008470878521818229,0.014493164991625241,0.017275998325995544,0.0012484084428876028,0.03430125821944752,0.04366939530252214,1.792998295142485e-05
2500.0,1.899319155374664e-05,0.0012250124544535017,0.1905001342809647,2.1149945320464336e-06,0.00036942361934240095,0.05412020750437005,3.0786653765092486e-07,6.736692405765041e-08,5.597026738224423e-05,0.0001534856651156268,9.92277873502988e-08,0.0001346268131575261,0.0003945216755290757,4.6044648508254746e-14,0.001018834667505113,0.014939364791879847,0.017860601125005787,0.0015006876318977322,0.03593406225474936,0.045909136051796445,2.1629135410791513e-05
2550.0,1.965975372185452e-05,0.001322018398768893,0.2050752871875395,2.190797938310735e-06,0.0003814501727255937,0.055703272125318296,3.1788033306138075e-07,7.499715297425183e-08,6.0386218639398836e-05,0.0001677678328315318,1.1040538293843221e-07,0.00013923082025383925,0.00041359589865211475,5.193231007828847e-14,0.0013696572556905159,0.016118053224494375,0.0193266165644167,0.0020163103239509623,0.03716294581620338,0.047645661334205516,2.9162627683229526e-05
2600.0,2.0251461881932664e-05,0.0014217085431919405,0.21999174947419617,2.258372171112221e-06,0.00039362603062463857,0.05729699019600384,3.2663442645366886e-07,8.493514157998144e-08,6.49256262863741e-05,0.00018274136377318862,1.249661017427874e-07,0.00014396620530077013,0.00043350281099885216,5.958406574083867e-14,0.0018310145867980732,0.017329694153669667,0.020840552190559903,0.0026939939215956483,0.03842689626623386,0.04943838532686661,3.9100439031049384e-05
2650.0,2.1283947736659055e-05,0.0016010004347959904,0.24711921311163312,2.3752410581309807e-06,0.0003895267592983422,0.056518179585934594,3.424340982964626e-07,1.103681305461346e-07,7.315356235701525e-05,0.00020859119680797866,1.622961472476112e-07,0.00014308411545838827,0.0004367197664516077,7.843794147445477e-14,0.0028707876953530877,0.01952586265871007,0.0235504848589073,0.004221488397204467,0.0381914522965891,0.04930678957114417,6.148401284352661e-05
2700.0,2.6711607882300112e-05,0.0018767585027366282,0.288962993488923,2.983135629357552e-06,0.00030741271615250006,0.044460465774345495,4.286902671704717e-07,1.8164359549085548e-07,8.591406872305985e-05,0.00024817323669044055,2.6695904815810155e-07,0.00011361565704286122,0.0003514954768043359,1.3077741625236747e-13,0.004889464504510475,0.022931847093794637,0.027739369476208184,0.007185977499507556,0.030325846668563094,0.039288132073860345,0.0001050244344317626
2750.0,3.25675066632675e-05,0.0019484421468376745,0.29925396278950933,3.639784435327936e-06,0.00025948257723061726,0.03740767855651638,5.213707501163401e-07,1.874439525457946e-07,8.944848636570788e-05,0.00026174874688114885,2.753317386474501e-07,9.447270284979461e-05,0.00029624331976270456,1.3671150168546775e-13,0.003928941309048106,0.023875240022932686,0.028964778842223777,0.0057711237251023995,0.025216284230146158,0.032781903801469135,8.463880397030085e-05
2800.0,3.298492567058351e-05,0.0018509573699608478,0.2835746408666011,3.689140903655085e-06,0.0002892765931940996,0.04156864305751108,5.267399294321423e-07,1.8092329013779493e-07,8.499281597773113e-05,0.00025194513057247964,2.6560718216856125e-07,0.00010512144299891821,0.00033410669668163,1.3367193426817016e-13,0.0031051822226555057,0.022685949915316042,0.027602072859221515,0.004558609892907019,0.028058604288673555,0.03660335630859584,6.70877653455931e-05
2840.0,3.400368447812258e-05,0.0018131613300860756,0.2772314170188656,3.805315413253663e-06,0.0003001178715811022,0.043015451399631775,5.419281760533919e-07,1.8700461143455354e-07,8.325680931146176e-05,0.00024936018290312863,2.7441393756750844e-07,0.00010900499287669845,0.0003501993533388604,1.3959879379767064e-13,0.0028736653027995867,0.02222258180789905,0.0271011263022677,0.004216868262996497,0.02909518622806991,0.03806059490057365,6.223010255690179e-05
2880.0,3.5311708160213644e-05,0.0017946586350890933,0.2738565442237708,3.954014728765593e-06,0.0003063028531354496,0.043788903399987734,5.61655161527672e-07,1.9695193786959088e-07,8.240466832463964e-05,0.00024936615115157666,2.88883475681335e-07,0.00011120165745870612,0.00036111868340944216,1.485483902282005e-13,0.0027772105624985902,0.021995131669608547,0.02688599603285419,0.004073533110015573,0.029681511344080088,0.03893485721578217,6.028092089724431e-05
2920.0,3.675349432473544e-05,0.0017838455336865674,0.2716652793389684,4.117872183293885e-06,0.0003107151129733987,0.04430536867157876,5.8342533441519e-07,2.0869850060381005e-07,8.190523358732724e-05,0.00025042090857155133,3.0597815820204386e-07,0.00011275263420753693,0.00037010929068859757,1.5903776637473968e-13,0.002730139512387519,0.021861824503511033,0.026784989570891805,0.004002726695295235,0.030095491989844483,0.039586844196564996,5.9396577925696264e-05
2960.0,3.826944855896553e-05,0.0017756533299131197,0.2698802638324478,4.2902320162935114e-06,0.00031445348128609065,0.04472311971000332,6.062823250701485e-07,2.2143329800291693e-07,8.152671797492218e-05,0.00025184143965600755,3.2450599570045984e-07,0.0001140544842836646,0.00037842102344886155,1.7048735284650153e-13,0.002698900944378154,0.021760792597150434,0.026722938064615103,0.003955184455775965,0.030442976718812877,0.04015431926447438,5.8852910687370666e-05
3000.0,3.988076548786043e-05,0.0017721416519301415,0.26881156660630856,4.473484936718378e-06,0.00031726548344413315,0.045007113840915734,6.30554691946511e-07,2.3552397150570925e-07,8.136321038225002e-05,0.0002539328009755265,3.4500361206099056e-07,0.0001150172579676658,0.00038572755476880364,1.832094402097288e-13,0.002694429455408426,0.02171714979022065,0.026731034234454873,0.0039468929154708185,0.030699956503795624,0.04060482313464969,5.8891315924240215e-05
3040.0,4.1557679018883854e-05,0.0017706353365117401,0.2680500014289303,4.664307407867665e-06,0.00031963349790725454,0.04522664851368836,6.55764237223743e-07,2.5064423562089536e-07,8.129164052072174e-05,0.0002563276349398436,3.6699064305991316e-07,0.0001158167586090976,0.0003925899084355343,1.9698323638168345e-13,0.0027024280087400167,0.021698046642791076,0.026769246502121806,0.003956866553478955,0.030913356087044347,0.04099962158049263,5.920265012531862e-05
3060.0,4.2424069541380574e-05,0.0017709137331917626,0.2678261156719914,4.762935196302892e-06,0.00032062230463847423,0.04530834664311959,6.687712580830661e-07,2.586485800070854e-07,8.130313644061982e-05,0.0002576822683702014,3.7862714159841126e-07,0.00011614500944202279,0.0003958144073493373,2.043192748891801e-13,0.0027124950890158915,0.021701115088753692,0.02680393480027106,0.0039707322658631295,0.031000971515121857,0.04117234621808555,5.9491780806769714e-05
3100.0,4.418739549068411e-05,0.001771220603821388,0.26734149249822503,4.963787379846734e-06,0.0003225721319648369,0.04546708417048584,6.951873709335642e-07,2.751967686157738e-07,8.131471835201463e-05,0.00026037448621956386,4.0267412039556905e-07,0.00011678953374444103,0.00040228908897077173,2.1963148551546595e-13,0.0027320890723251667,0.021704206487230194,0.026869642023194206,0.0039976543677258305,0.031173005420289755,0.04151468128627026,6.005986173966197e-05
3140.0,4.599616354187167e-05,0.0017711367537940862,0.26679955348766043,5.1699987385479125e-06,0.00032448298354035725,0.04561927709145417,7.221973477850361e-07,2.925755819847172e-07,8.130836286958756e-05,0.00026303720434335743,4.279118997788148e-07,0.00011741739537925774,0.00040880622789824444,2.3594344319883747e-13,0.0027509194970349216,0.02170251010672592,0.0269295427633313,0.004023432143135702,0.031340591791412374,0.041852776514533827,6.061360722020372e-05
3160.0,4.691879134431231e-05,0.0017714608236197719,0.26658405790878004,5.275227637397041e-06,0.0003253649496365179,0.04568480477854324,7.359541309715918e-07,3.015843587176343e-07,8.13219672136569e-05,0.00026443138514100294,4.4099060669444087e-07,0.00011770411240163894,0.0004119965108163403,2.4445789128134423e-13,0.002762591131962463,0.021706141325019343,0.026965102363340803,0.0040396116360997,0.03141712117727615,0.042012552052363254,6.0941045767015e-05
3180.0,4.7859662923599794e-05,0.001772150888284794,0.26642403625630157,5.382579755744709e-06,0.00032617345604107895,0.04573976369223722,7.49962708918967e-07,3.109125054989967e-07,8.135235364300913e-05,0.00026588838767439713,4.545291308340701e-07,0.00011796361562899298,0.00041511850718879576,2.533308086046721e-13,0.002776519189462669,0.02171425195185833,0.02700627119329126,0.004059081734322761,0.031486386763442384,0.04216305551389033,6.131905012036669e-05
3210.0,4.928961821015945e-05,0.0017735555835693081,0.2662396219886561,5.545780333835116e-06,0.0003273183963409853,0.04581252659681191,7.712317967753703e-07,3.2524146523808057e-07,8.141487754999134e-05,0.0002681394795728087,4.7532133722091003e-07,0.00011832777582543159,0.0004197373956325679,2.6702481100871393e-13,0.0027996769003027994,0.0217309405884918,0.02707373791487576,0.004091585456637967,0.03158358697833728,0.04238020462539698,6.193726431496809e-05
3220.0,4.977870191743162e-05,0.0017742702141888003,0.26621522937348907,5.601628793577856e-06,0.00032765483023633056,0.04583033058769261,7.784923066843985e-07,3.3024227819580207e-07,8.144701502762131e-05,0.00026893356893782606,4.825750194681208e-07,0.00011843243279451615,0.00042123428770388463,2.718458960894279e-13,0.0028089065536427236,0.02173951859828629,0.027100035806509805,0.004104619080730112,0.03161152160706594,0.042446850275376556,6.217747415621781e-05
3240.0,5.0756869331975946e-05,0.0017756994754277843,0.26616644414315505,5.713325713063336e-06,0.000328327698027021,0.04586593856945402,7.930133265024549e-07,3.4024390411124503e-07,8.151128998288128e-05,0.00027052174766786086,4.970823839625421e-07,0.00011864174673268527,0.00042422807184651807,2.8148806625085583e-13,0.0028273658603225724,0.02175667461787527,0.027152631589777893,0.004130686328914402,0.031667390864523255,0.042580141575335705,6.265789383871724e-05
3260.0,5.174783077347657e-05,0.0017770106779230793,0.2660999990004522,5.826539257667035e-06,0.0003289986241252074,0.04590113573927273,8.07697463729107e-07,3.505126732074313e-07,8.157006802820357e-05,0.00027210218588544693,5.119717452857789e-07,0.00011884995249448152,0.00042724169532541993,2.9146897726220426e-13,0.0028456476564432207,0.021772363423769772,0.027203490289172166,0.004156479679108649,0.03172296433187875,0.042713382882296126,6.313563312821564e-05
3280.0,5.2751586241933474e-05,0.0017782038216746852,0.26601589394538055,5.941269427388953e-06,0.00032966760853088975,0.045935922097148724,8.225447183643549e-07,3.6104858548436094e-07,8.162334916358821e-05,0.0002736748835905843,5.272431034378309e-07,0.0001190570500799049,0.00043027515814059034,3.0178862912347327e-13,0.0028637519420046677,0.0217865850159698,0.02725261190469263,0.0041819991313128526,0.03177824200913242,0.04284657419625783,6.3610692024713e-05
3300.0,5.375534171039038e-05,0.0017793969654262914,0.2659317888903089,6.055999597110872e-06,0.00033033659293657205,0.04597070845502472,8.373919729996029e-07,3.7158449776129056e-07,8.167663029897284e-05,0.00027524758129572163,5.425144615898829e-07,0.00011926414766532829,0.00043330862095576075,3.121082809847423e-13,0.002881856227566115,0.021800806608169826,0.02730173352021309,0.004207518583517055,0.0318335196863861,0.04297976551021952,6.408575092121037e-05
3320.0,5.479823650556052e-05,0.0017813890581799686,0.26596696026207767,6.175295253355341e-06,0.00033087788797078,0.04598751527761621,8.527736031129281e-07,3.8285327563541843e-07,8.176662630550716e-05,0.0002769665157459164,5.588382911589285e-07,0.00011942398865702144,0.0004362163572678659,3.2329555636190683e-13,0.0029046263007294674,0.021824827990134046,0.02736334649647825,0.004239817421454231,0.031876183818527755,0.043096570216039055,6.466737043732237e-05
3340.0,5.584113130073065e-05,0.0017833811509336457,0.26600213163384645,6.29459090959981e-06,0.00033141918300498796,0.046004322100207704,8.681552332262533e-07,3.9412205350954635e-07,8.185662231204148e-05,0.00027868545019611116,5.751621207279741e-07,0.00011958382964871461,0.000439124093579971,3.3448283173907137e-13,0.0029273963738928196,0.021848849372098265,0.02742495947274341,0.004272116259391406,0.03191884795066941,0.04321337492185859,6.52489899534344e-05
3360.0,5.689768586621739e-05,0.0017853017695247028,0.26602647563898085,6.415506372639837e-06,0.0003319585324259319,0.04602078819986097,8.837104583330659e-07,4.0567803317109857e-07,8.194335397861495e-05,0.0002804053115239858,5.918957520397005e-07,0.00011974245742118793,0.0004420494845394979,3.4604973773311446e-13,0.0029500215348563052,0.021871999449211522,0.02748560400664081,0.004304185529882806,0.0319611882550835,0.04333003588751446,6.58289291827236e-05
3380.0,5.7967900202020723e-05,0.0017871509139531397,0.2660399922774809,6.538041642475423e-06,0.00033249593623361183,0.046036913576576015,8.994392784333655e-07,4.175212146200751e-07,8.202682130522754e-05,0.0002821260997295404,6.090391850941075e-07,0.00011989987197444141,0.0004449925301464465,3.579962743440361e-13,0.002972501783619925,0.021894278221473815,0.027545280098170446,0.004336025232928431,0.03200320473177001,0.043446553113006686,6.640718812518998e-05
3390.0,5.850300736992239e-05,0.0017880754861673582,0.2660467505967309,6.599309277393215e-06,0.00033276463813745183,0.04604497626493354,9.073036884835154e-07,4.234428053445633e-07,8.206855496853384e-05,0.0002829864938323177,6.17610901621311e-07,0.00011997857925106815,0.0004464640529499208,3.6396954264949693e-13,0.002983741908001735,0.02190541760760496,0.027575118143935266,0.004351945084451244,0.03202421297011327,0.043504811725752796,6.669631759642316e-05
3400.0,5.903811453782406e-05,0.0017890000583815767,0.2660535089159809,6.660576912311007e-06,0.0003330333400412918,0.04605303895329106,9.151680985336653e-07,4.293643960690516e-07,8.211028863184015e-05,0.00028384688793509495,6.261826181485145e-07,0.0001200572865276949,0.0004479355757533951,3.699428109549578e-13,0.0029949820323835444,0.021916556993736108,0.027604956189700085,0.004367864935974056,0.03204522120845653,0.043563070338498905,6.698544706765636e-05
3410.0,5.958775430540856e-05,0.0017899087484048168,0.26605777747735077,6.723565226965461e-06,0.0003332974983834365,0.04606040994123052,9.232183134595998e-07,4.355750267010134e-07,8.21514644267841e-05,0.00028471742584829205,6.351661230172929e-07,0.00012013357280309854,0.00044942034187495105,3.7630909354547376e-13,0.003006048063810111,0.021927547475826578,0.027634730721328868,0.004383513025803495,0.03206558324262524,0.043620744650806564,6.727222339180579e-05
3420.0,6.013739407299305e-05,0.0017908174384280568,0.26606204603872063,6.786553541619915e-06,0.00033356165672558126,0.04606778092916997,9.312685283855344e-07,4.417856573329752e-07,8.219264022172806e-05,0.00028558796376148914,6.441496278860714e-07,0.0001202098590785022,0.00045090510799650706,3.826753761359898e-13,0.003017114095236678,0.021938537957917052,0.027664505252957654,0.004399161115632934,0.03208594527679395,0.043678418963114224,6.755899971595522e-05
3440.0,6.123667360816204e-05,0.0017926348184745368,0.2660705831614604,6.912530170928823e-06,0.00033408997340987075,0.046082522905048884,9.473689582374035e-07,4.542069185968989e-07,8.227499181161597e-05,0.00028732903958788333,6.621166376236282e-07,0.0001203624316293095,0.000453874640239619,3.954079413170218e-13,0.0030392461580898114,0.021960518922097997,0.027724054316215222,0.004430457295291812,0.032126669345131365,0.04379376758772955,6.81325523642541e-05
3460.0,6.234981193043323e-05,0.0017944031678639527,0.26607175345147216,7.040153839543794e-06,0.0003346156363452949,0.04609684304458611,9.636434279337575e-07,4.6692544724580463e-07,8.235516510002062e-05,0.000289074609322739,6.805067244538163e-07,0.0001205134919291595,0.0004568608686765158,4.0855289316310305e-13,0.003061220462577474,0.0219819184625694,0.02778299210098595,0.004461505921116985,0.03216698976935979,0.043908858410068786,6.870409520885214e-05
3480.0,6.347680903980658e-05,0.001796122486596304,0.266065556908756,7.1694245474648285e-06,0.0003351386455318537,0.046110741347781654,9.800919374745968e-07,4.799412432796923e-07,8.243316008694201e-05,0.0002908246729660563,6.993198883766357e-07,0.00012066303997805223,0.0004598637933071976,4.221102316742336e-13,0.0030830370086996654,0.022002736579331265,0.02784131860726985,0.004492306993108453,0.03220690654947921,0.044023691430131934,6.927362824974937e-05
3500.0,6.460380614917995e-05,0.0017978418053286557,0.26605936036603983,7.298695255385863e-06,0.0003356616547184125,0.0461246396509772,9.965404470154359e-07,4.929570393135802e-07,8.25111550738634e-05,0.00029257473660937347,7.181330522994552e-07,0.00012081258802694498,0.00046286671793787927,4.356675701853641e-13,0.0031048535548218567,0.022023554696093132,0.027899645113553743,0.004523108065099921,0.032246823329598634,0.04413852445019509,6.984316129064658e-05
3520.0,6.577158923437247e-05,0.0018003636554838824,0.26617150882991003,7.432742024422887e-06,0.00033606719082570485,0.04612234422371732,1.0135355703448159e-06,5.06824106320648e-07,8.262592318411549e-05,0.00029448124265871726,7.381647406481684e-07,0.00012091918404413806,0.00046574823208554413,4.503047703139195e-13,0.003131751333615476,0.02205418815106345,0.027970687040921576,0.004561272350602913,0.0322752755214621,0.044238199814901305,7.053038095884493e-05
3540.0,6.693937231956498e-05,0.001802885505639109,0.26628365729378023,7.566788793459911e-06,0.00033647272693299713,0.046120048796457445,1.0305306936741959e-06,5.206911733277158e-07,8.274069129436757e-05,0.0002963877487080611,7.581964289968817e-07,0.00012102578006133115,0.000468629746233209,4.649419704424749e-13,0.003158649112409095,0.022084821606033766,0.02804172896828941,0.004599436636105905,0.03230372771332556,0.04433787517960753,7.121760062704327e-05
3560.0,6.811370571646854e-05,0.0018048686555980345,0.26631612904942864,7.701661280881085e-06,0.00033693499101523916,0.0461255028744989,1.0475846361935378e-06,5.347576788303247e-07,8.283075176829188e-05,0.0002982184401555972,7.785071966834267e-07,0.00012115240775455542,0.0004716108542848806,4.79931377353667e-13,0.003182750757647135,0.022108860195381507,0.028104528532565416,0.004633510474044952,0.03233752668178345,0.04444516289009326,7.184342664567843e-05
3580.0,6.929458942508315e-05,0.0018063131053606587,0.2662689240968552,7.837359486686407e-06,0.0003374539830724309,0.04613870645784169,1.064697397902842e-06,5.490236228284749e-07,8.289610460588843e-05,0.0002999733170013256,7.990970437078036e-07,0.00012129906712381088,0.00047469155624055883,4.952729910474961e-13,0.0032040562693295967,0.022126303919106673,0.028159085733749596,0.004663493864420054,0.03237667242683574,0.0445600629463585,7.240785901475043e-05
3600.0,7.047547313369778e-05,0.0018077575551232827,0.26622171914428183,7.97305769249173e-06,0.00033797297512962263,0.046151910041184484,1.0818101596121461e-06,5.632895668266251e-07,8.296145744348498e-05,0.000301728193847054,8.196868907321804e-07,0.00012144572649306635,0.0004777722581962371,5.106146047413251e-13,0.003225361781012058,0.022143747642831835,0.02821364293493378,0.004693477254795157,0.032415818171888044,0.04467496300262375,7.297229138382243e-05
3640.0,7.29200177357069e-05,0.0018122344130365624,0.2663608045502639,8.254163762680353e-06,0.0003387827531872012,0.04614708233252182,1.1171355878435126e-06,5.936503207690122e-07,8.316469207351341e-05,0.00030555292178954953,8.63480605160482e-07,0.00012165629564617703,0.000483696528810509,5.436927312459385e-13,0.003278517235791829,0.02219799423514489,0.028347948358366078,0.004768711270076668,0.032472022466406666,0.04487540618101931,7.434646292614503e-05
3680.0,7.538223168773297e-05,0.0018150661575284644,0.2662581299286244,8.537531693752961e-06,0.00033976274452054387,0.04616538095635468,1.1526015074618475e-06,6.246289250507503e-07,8.329230335494141e-05,0.000309137018074732,9.081358306543008e-07,0.00012192732077367643,0.000489929002188301,5.779235514527165e-13,0.0033230935220048847,0.022232055739117927,0.028456839195181313,0.0048314109035325304,0.03254436343308148,0.04509898420100244,7.553101985452568e-05
3720.0,7.789385150589044e-05,0.0018181995012818062,0.266199483569048,8.82675968920727e-06,0.00034068591057629836,0.04617595263027661,1.1886908733998944e-06,6.56790733607925e-07,8.343363815360048e-05,0.00031281121635229315,9.54472905270385e-07,0.0001221772755096594,0.0004961430839946484,6.138606299441564e-13,0.0033702350579926047,0.022269780270618458,0.028570817981337888,0.004897780198881706,0.03261108037328841,0.04531555583908696,7.677918147437923e-05
3760.0,8.04629526924185e-05,0.0018221262992410058,0.26625709196967384,9.122766666453696e-06,0.00034149562080258364,0.04617111710884242,1.225524619929276e-06,6.902931665318679e-07,8.36112668951124e-05,0.0003166592817494991,1.0027189538048998e-06,0.00012238586455150867,0.000502257352541108,6.516823115404059e-13,0.003422750720770511,0.022317192239349037,0.0286975911568823,0.004971902385315727,0.03266675614425612,0.04551760760818081,7.815485931862176e-05
3800.0,8.30739497356811e-05,0.001825883548612083,0.2662896198370953,9.423792256815373e-06,0.00034230565264899,0.046166367183568244,1.2628616606604954e-06,7.248857100691566e-07,8.378098356488934e-05,0.0003205180108711905,1.0525078877934287e-06,0.000122594023659895,0.0005084355587857584,6.91191721299263e-13,0.0034751138460282624,0.022362492348847265,0.028822069065949127,0.0050457398774987,0.032722317159065976,0.04572025375758609,7.953265714767052e-05
4000.0,9.693350022876033e-05,0.0018476496262546983,0.26687953103520606,1.1024849018282548e-05,0.0003459286650636237,0.04608660912196488,1.4594166602815356e-06,9.168763915942831e-07,8.477647718811002e-05,0.00034109084348777084,1.3283252051969423e-06,0.00012345218207582268,0.000539653870637781,9.19448673359606e-13,0.003747282984968826,0.022628205611993142,0.029502566540060265,0.005428878402337917,0.032951373445990764,0.04667722552822802,8.675563226827703e-05
