wavenumber,L_I_xx_ir_sq,L_I_yy_ir_sq,L_I_zz_ir_sq,L_II_xx_ir_sq,L_II_yy_ir_sq,L_II_zz_ir_sq_n,L_II_zz_ir_sq_w
2400.0,0.668548095591948,0.41761117881642223,9.671340616038699e-05,0.6497754564948052,0.40586807839479144,4.719506499735714e-05,0.9172960119271424
2450.0,0.6719885560618674,0.42058657621980294,0.00010371486972995996,0.6530156675827291,0.40872321606839823,5.0833634478273434e-05,0.9078017312243045
2500.0,0.6753686080651613,0.4232622351377051,0.00011103079524400674,0.6562018534692438,0.41128625852697487,5.4646238722076285e-05,0.898196202660805
2550.0,0.6791717685225835,0.4251396397213123,0.00011859952586935186,0.6598010683598927,0.41307345583987026,5.856127363165684e-05,0.8848970674817682
2600.0,0.6828834952292079,0.4266517610275756,0.00012645271961785314,0.6633193023358697,0.4145025667791922,6.263618545505646e-05,0.8717263658243636
2650.0,0.6869662383433738,0.42733512059041423,0.00013453897040787986,0.6672033030174636,0.41512419381373006,6.680558781531797e-05,0.8553227012499309
2700.0,0.6913682898648619,0.4271926131908397,0.00014285363865787718,0.6714041004960972,0.4149402718725368,7.106898339902125e-05,0.8360494346192034
2750.0,0.6956110166210201,0.42671671268488426,0.00015144721651266246,0.6754596205437622,0.4144272632707123,7.549380953193966e-05,0.8173860570650626
2800.0,0.7005069727532238,0.42491887071214224,0.00016020843488767091,0.6801579985812631,0.41262420489449947,7.995158972392758e-05,0.7933734532258757
2840.0,0.7045710127104409,0.4228214109899132,0.000167367265272938,0.6840689076545763,0.410534240219981,8.358680434064995e-05,0.7726722749306199
2880.0,0.7088105736236107,0.4200442588183086,0.00017465122230504994,0.6881552128782903,0.40777827761098556,8.726654713260595e-05,0.7500805862761445
2920.0,0.7132637967699456,0.41640493473159884,0.0001820299720527935,0.6924651111682424,0.40416882902292217,9.099422894984196e-05,0.7258825474122741
2960.0,0.7178767037047672,0.4119705923545935,0.00018951444000468067,0.696939549798886,0.39977201446067306,9.476462886669936e-05,0.7002881975723042
3000.0,0.722966171059562,0.40615683329800095,0.0001970410437770515,0.7018868814978154,0.39401185068442024,9.851225502920325e-05,0.671163272009472
3040.0,0.7280581153441623,0.39987701422772615,0.00020468885997968354,0.7068428584728782,0.38777348277394386,0.00010231487184400324,0.6431425069357029
3060.0,0.7311042042250437,0.39568553191124145,0.00020846360737318645,0.7098092505263807,0.3836127487959408,0.00010413494415598238,0.6261930229258342
3100.0,0.7369547107135405,0.38813003754796127,0.00021614515390206424,0.7155067748798795,0.37607164291039863,0.00010784689466922358,0.5984555166740204
3140.0,0.7440126433066011,0.3802377036823031,0.00022368342313685793,0.7223855226526565,0.36813614031714187,0.00011134029194239257,0.5741145673388057
3160.0,0.7484638239250677,0.3761983870290445,0.00022729440315150318,0.7267234422704426,0.3640443559916797,0.0001128931581057697,0.5635383851493317
3180.0,0.7531059835618751,0.37314901556317753,0.00023087455890238753,0.7312513194332931,0.3609113237006597,0.00011440780044800954,0.557110422740453
3210.0,0.7618593042714905,0.3702858208332101,0.00023580446400248001,0.7398324177688833,0.3578317605307538,0.00011634912293407868,0.5566339374579423
3220.0,0.7650385480010848,0.3701159919346442,0.00023736199452952994,0.7429657659028994,0.3575663267652387,0.00011696352457380862,0.5597298392513559
3240.0,0.7711748029343792,0.37056641319339256,0.00024050778181842068,0.74902757835771,0.3578206210522447,0.00011825411103517545,0.5681643806023798
3260.0,0.7775997297238605,0.37187805065633245,0.00024354090845194804,0.7554000608315063,0.35891689669288396,0.00011952079031288539,0.5799779947422923
3280.0,0.7849287382125162,0.37329551455899784,0.00024634420773723053,0.7626679476194943,0.36010942266491186,0.0001205967525470208,0.5925693961495389
3300.0,0.7921612341722378,0.37470155623713974,0.0002491777828918936,0.7698344428756209,0.36130549709055093,0.00012166968104379592,0.6041955569527699
3320.0,0.8015407411456269,0.37629314388195456,0.00025144865835569216,0.7791271935377628,0.3626534091517136,0.00012229386108877154,0.6182115318891361
3340.0,0.8120547856214877,0.3784607421369266,0.00025337350704510674,0.789563922707375,0.3645553846100764,0.0001227100088094869,0.6352826258211245
3360.0,0.8231884418611428,0.3811835244958169,0.00025507333793302133,0.8006401960744663,0.36700065860512654,0.00012303614273859574,0.6549694140220904
3380.0,0.8404511681250645,0.3851644348773224,0.0002550663836387717,0.8178320878472735,0.37059971110032347,0.0001222122204998138,0.685223347608481
3390.0,0.848843364729881,0.38825884675712097,0.0002549911682059475,0.8262698793844957,0.37348365179463444,0.00012201734998808973,0.7059207795795172
3400.0,0.8579344840769644,0.39182166756427184,0.00025467401492285135,0.8354366947085884,0.37681972253105817,0.0001217748625761155,0.7298321504056394
3410.0,0.8663035039119892,0.39624997469496837,0.00025442339995444894,0.8439696296635266,0.3810096577601084,0.00012187099566896572,0.758597045752758
3420.0,0.8743544621730941,0.40071941281898193,0.00025423224443271486,0.8522084899715058,0.3852469524373515,0.00012210242383484953,0.788028776500131
3440.0,0.8953495479748178,0.41209301438988766,0.000252306447873735,0.8737620243797898,0.39605117411363605,0.00012230294968057642,0.8676213631859717
3460.0,0.9124311259685051,0.4252898176845083,0.00025114521903416346,0.8917377539891272,0.408678506502029,0.000124281250709135,0.963067626867714
3480.0,0.9262982916469116,0.44117991605825774,0.0002505981747080012,0.9069518157465905,0.4239558719845603,0.00012847815248671007,1.085878409195273
3500.0,0.9365228015506376,0.4570486249865551,0.00025121211776100007,0.9187292060520547,0.439242856542266,0.00013446787576186674,1.2188654633215958
3520.0,0.9428600759774888,0.4741563789308556,0.00025312817747594245,0.9269720614204023,0.4557587701727283,0.00014301147393810492,1.375143302147909
3540.0,0.942207794996775,0.4951737653556482,0.00025745464674658365,0.9289867195573783,0.47610713243945096,0.0001567091987977396,1.5876032517048875
3560.0,0.9303227130452464,0.5157764843880888,0.00026590404989784624,0.9200091456380769,0.4961065101765736,0.00017464137291998353,1.8153967016006776
