wavenumber,SSP_I,SPS_I,PSS_I,PPP_I_xxz,PPP_I_xzx,PPP_I_zxx,PPP_I_zzz,SSP_II_n,SPS_II_n,PSS_II_n,PPP_II_xxz_n,PPP_II_xzx_n,PPP_II_zxx_n,PPP_II_zzz_n,SSP_II_w,SPS_II_w,PSS_II_w,PPP_II_xxz_w,PPP_II_xzx_w,PPP_II_zxx_w,PPP_II_zzz_w
2400.0,1.7996341277783023e-05,0.0010745089320302068,0.17204611449657048,1.9241286861145388e-06,0.0003032283263825,0.047637178050331866,3.0035081625732486e-07,6.323485645863534e-08,4.914284616764592e-05,0.0001359321114653342,9.254097590705372e-08,0.00013063202714769072,0.00038864164825028923,4.359536312788623e-14,0.0008272912941101361,0.013117016232847221,0.016141048963591916,0.0012106984660658088,0.034867789602184514,0.04614865322163971,1.8077012525865e-05
2450.0,1.898835285960328e-05,0.0010910120408536602,0.17431919030465734,2.030442921401501e-06,0.00031140112097076134,0.04881166802481046,3.162370187308523e-07,6.919803080497428e-08,4.984830017924494e-05,0.000139770171351389,1.0120000011954875e-07,0.00013427618602691063,0.0004052208821023862,4.835928652950481e-14,0.0009261800366894289,0.013305313257608553,0.016429723365840435,0.0013545099294495556,0.035840474232837274,0.047632960098949496,2.0308229788779353e-05
2500.0,1.953709454882013e-05,0.0011213963463424632,0.17879376436196592,2.089404699362101e-06,0.00032842854749408974,0.05136447516369828,3.246855544349709e-07,7.317441001491193e-08,5.116573699166215e-05,0.0001454225556512065,1.0694400961923266e-07,0.0001418208238941783,0.00043412096817830264,5.183627355737831e-14,0.0011066651289232962,0.013656958337245888,0.016922324694677398,0.001617385178352979,0.03785425945476566,0.05051717010049673,2.4349708734607162e-05
2550.0,2.0033295525000046e-05,0.0012097967711004573,0.1924776748477015,2.1427870309649397e-06,0.0003411328123093458,0.053229959837093554,3.322233074187248e-07,8.168602563030545e-08,5.517846895101232e-05,0.00015896341701268383,1.19304427702486e-07,0.00014768505155320305,0.0004585331522947344,5.865395681918237e-14,0.0014918147323736515,0.014728021052443571,0.018312360340606317,0.0021788317097159063,0.039419516158338115,0.05282236926415154,3.2937173453047545e-05
2600.0,2.033976472604879e-05,0.0012987313673273873,0.20618613873276143,2.175910178836166e-06,0.0003566710604758017,0.05552700929373612,3.36585821825824e-07,9.237821869964696e-08,5.9214214409088505e-05,0.00017290823817519923,1.3483136975988486e-07,0.00015488162542031967,0.00048773475342982165,6.72328160976118e-14,0.001991470936469746,0.01580522644068331,0.01971914342469571,0.0029066673722540908,0.041340397499109977,0.0556232118121874,4.411972553441639e-05
2650.0,2.0813063625076537e-05,0.001462208103766094,0.23164307097751569,2.226913812602731e-06,0.0003654179421854497,0.05675758531159745,3.4368129527276886e-07,1.2160371894020974e-07,6.668954545529969e-05,0.0001973773509150814,1.77370627207413e-07,0.00015965202688443758,0.0005099112619355495,8.970330006152836e-14,0.0031630368142985276,0.017800512557090916,0.022284412695018678,0.004613591002986636,0.042613694394217944,0.05757029844674702,7.031442627654797e-05
2700.0,2.606641010537483e-05,0.0017367361289051492,0.27454405685709443,2.789487886335909e-06,0.00031252178089232553,0.048429117496503554,4.2950595431469913e-07,2.256477083461271e-07,7.932840658843914e-05,0.00023796127072582484,3.289122782008517e-07,0.00013835327375874996,0.00044816019813672184,1.6870598142544627e-13,0.006073962902468884,0.02117402792253264,0.02659793496558736,0.008853628475118466,0.03692871453904259,0.05009275571544355,0.00013548402157044593
2750.0,4.037347331852801e-05,0.001958149257308192,0.3088804607329607,4.321338989562483e-06,0.0001619137996290213,0.025032118069683567,6.638202776544866e-07,2.813760875243051e-07,8.978283175133273e-05,0.0002729589991350556,4.098749872668034e-07,7.025452137951833e-05,0.00023079671423812596,2.1321281776302433e-13,0.005897817020170281,0.023964482185172494,0.03020529090262109,0.008591233524190004,0.01875206198318974,0.02553966681817451,0.00013200116789089712
2800.0,3.8387594891938496e-05,0.0018248530969963098,0.28723515376029135,4.1095554318515335e-06,0.00021117752808785627,0.03257202479345371,6.298111455895379e-07,2.3834616791283365e-07,8.370350677373465e-05,0.00025790711486100545,3.469669941321816e-07,9.109516920745737e-05,0.00030349425928006147,1.830416191302572e-13,0.004090729738981164,0.022341812546872054,0.02825524335052451,0.0059549864542420205,0.024314766164578897,0.033249583502443635,9.18656055956556e-05
2840.0,3.886645188384582e-05,0.001775242383235029,0.27894495779584644,4.161462339542562e-06,0.00022746418914986418,0.03501822513605636,6.36569036938128e-07,2.3804988816298998e-07,8.142846433534981e-05,0.0002535949929695675,3.463546595315676e-07,9.808368812365433e-05,0.00033046359161827794,1.8477976771326785e-13,0.0036580686363914283,0.021734567120082815,0.027561376696458577,0.005322368041748317,0.026180114291844414,0.03591565995212301,8.237079692753777e-05
2880.0,4.000504862406526e-05,0.0017509420059893188,0.27465224494682633,4.284048758591314e-06,0.00023619672445333436,0.03629417862264497,6.540876530687657e-07,2.464379587936734e-07,8.031157660857649e-05,0.00025280211794461636,3.583720173577021e-07,0.00010183443470636972,0.0003469654081531666,1.933446522584317e-13,0.003475010754225506,0.02143645181775833,0.027256452845617566,0.00505338796193387,0.027181248895300995,0.037408888672598374,7.845923924716573e-05
2920.0,4.1403279889132965e-05,0.0017364779270432958,0.2719134260367273,4.434494609144068e-06,0.00024214576550537866,0.037138143623163936,6.757808618277684e-07,2.582171450727418e-07,7.964533945334354e-05,0.0002533929835601233,3.753058598054867e-07,0.000104386672877932,0.0003596619185371792,2.0475819745580037e-13,0.0033779295418959144,0.02125862240286639,0.027102882346007516,0.004909653658847723,0.02786248232269078,0.038469394556616056,7.647200101170595e-05
2960.0,4.292056291278702e-05,0.001725466189408494,0.26972263042795275,4.59775362631511e-06,0.00024704535792850773,0.037818008650574664,6.993363445372795e-07,2.7149746742920084e-07,7.913807633315929e-05,0.00025447496409725025,3.9440295106944304e-07,0.00010648200828279275,0.00037100254308368907,2.17594222655271e-13,0.003309099299199774,0.021123225715440452,0.027002381791712205,0.004807111246172329,0.028421761051176653,0.0393671430491428,7.51143890629145e-05
